Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
T3L;3;GG;;0;6;2.7;9.7;2.5;10;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T3L;4;GG;;7;300;3;9.3;2.5;10;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T3L;5;GG;;400;1200;3.3;8.9;3;9;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T3L;6;GG;;10000;60000;3.7;8.5;3;9;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T3L;7;GG;;70000;110000;3.8;8;3;9;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T3L;8;GG;;120000;200000;3.9;7.7;3;8.5;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
T4L;1;GG;;0;6;11;32;10;34;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
T4L;2;GG;;6;300;11.5;28.3;10;30;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
T4L;3;GG;;400;1200;11.9;25.6;11;26;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
T4L;4;GG;;10000;60000;12.3;22.8;11;26;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
T4L;5;GG;;70000;110000;12.5;21.5;11;26;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
T4L;6;GG;;120000;180000;12.6;21;11;26;;;;;1;1;;7.781;6.644;4.948;17.68;34.483;[... - 17.68];]17.68 - 34.483];]34.483 - ...]
B12;6;GG;;;;145;569;145;569;;;;;1;1;;19.967;8.341;7.983;359.139;742.676;[... - 359.139];]359.139 - 742.676];]742.676 - ...]
VANCOC;6;GG;;;;25;40;25;40;;;;;1;1;;11.659;12.2;3.646;10.518;25.397;[... - 10.518];]10.518 - 25.397];]25.397 - ...]
TROP;0;GG;;;;0;14;0;14;0;50;30;10;1;1;1;5.625;6.95;5.398;73.51;531.567;[... - 73.51];]73.51 - 531.567];]531.567 - ...]
CREAT+;0;GG;;;;59;104;50;120;20;400;50;100;1;1;30;4.824;4.92;2.456;106.988;360.072;[... - 106.988];]106.988 - 360.072];]360.072 - ...]
CREAT+;1;GG;2;;;45;84;40;100;20;400;50;100;1;1;30;4.824;4.92;2.456;106.988;360.072;[... - 106.988];]106.988 - 360.072];]360.072 - ...]
VANCOV;0;GG;;;;5;10;5;10;;;;;1;1;;11.4;;;;;[... - ...];;
CORT;0;GG;;;;;;6;18.4;6;18.4;;;1;1;;7.395;8.45;11.026;9.649;25.199;[... - 9.649];]9.649 - 25.199];]25.199 - ...]
CO2;1;GG;;1;10;19;23;18;24;17;38;10;4;1;1;2;20.992;14.428;12.27;19.129;27.653;[... - 19.129];]19.129 - 27.653];]27.653 - ...]
CO2;2;GG;;10;90;19;25;18;26;17;38;10;4;1;1;2;20.992;14.428;12.27;19.129;27.653;[... - 19.129];]19.129 - 27.653];]27.653 - ...]
CO2;3;GG;;90;10000;20;24;18;26;17;38;10;4;1;1;2;20.992;14.428;12.27;19.129;27.653;[... - 19.129];]19.129 - 27.653];]27.653 - ...]
EBNA;0;GG;;;;0;.09;0;.09;;;;;1;1;;;;;;;;;
VCAG;0;GG;;;;0;.09;0;.09;;;;;1;1;;;;;;;;;
VCAM;0;GG;;;;0;.11;0;.11;;;;;1;1;;;;;;;;;
Lyme IgG;0;GG;;;;0;.2;0;.2;;;;;1;1;;;;;;;;;
Lyme IgM;0;GG;;;;0;.2;0;.2;;;;;1;1;;;;;;;;;
CRP;1;GG;;0;180000;0;5;0;30;0;100;50;50;1;1;7;4.192;7.322;3.724;6.711;20.284;[... - 6.711];]6.711 - 20.284];]20.284 - ...]
AC BIL;0;GG;;;;0;10;0;11;0;50;;;1;1;;15.226;13.885;13.25;19.351;67.126;[... - 19.351];]19.351 - 67.126];]67.126 - ...]
Hemolyse;0;GG;;;;0;90;0;1000;;;;;1;1;;;;;;;;;
Hémolyse;0;GG;;;;0;90;0;1000;;;;;1;1;;;;;;;;;
HemolysN;0;GG;;;;0;90;0;1000;;;;;1;1;;;;;;;;;
GOT;1;GG;2;;;10;35;5;50;5;100;50;30;1;1;15;3.335;4.892;2.598;72.162;163.67;[... - 72.162];]72.162 - 163.67];]163.67 - ...]
BILT;3;GG;;3;4;0;217;0;220;0;230;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;4;GG;;4;6;0;216;0;220;0;230;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
BILT;5;GG;;7;31;0;17;0;100;0;230;40;20;1;1;2;7.711;5.667;5.732;24.916;58.794;[... - 24.916];]24.916 - 58.794];]58.794 - ...]
PSA B;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
PSAL B;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
AcHBsB;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
AgHBsB;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
iAgHBsB;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
PCT B;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
NT PRO BNP B;0;QB;;0;1200000;;;;;;;;;1;1;;;;;;;;;
zCOROT;0;GG;;;;0;.9;0;.9;;;;;1;1;;;;;;;;;
HEVM;0;GG;;;;0;.1;0;.1;;;;;1;1;;;;;;;;;
SALI;0;GG;;;;20;200;20;200;0;300;;;1;1;;5.104;5.356;4.2;96.523;253.492;[... - 96.523];]96.523 - 253.492];]253.492 - ...]
